Date,modelled_flow
27/07/1903, 255.252364691911
28/07/1903, 252.116392645711
29/07/1903, 249.033537863834
30/07/1903, 246.002865127166
31/07/1903, 243.023082756687
01/08/1903, 240.094017352849
02/08/1903, 237.213741664628
03/08/1903, 234.381944346533
04/08/1903, 231.597417190107
05/08/1903, 228.859230867893
06/08/1903, 226.19589100045
07/08/1903, 223.612627741011
08/08/1903, 221.068904512287
09/08/1903, 218.544409282977
10/08/1903, 215.915502845176
11/08/1903, 213.381481377644
12/08/1903, 210.946299202474
13/08/1903, 208.540404911235
14/08/1903, 206.155338712237
15/08/1903, 203.858823400727
16/08/1903, 201.625792526438
17/08/1903, 199.448260344227
18/08/1903, 197.292547679982
19/08/1903, 194.969021605954
20/08/1903, 192.776395092462
21/08/1903, 190.654670816408
22/08/1903, 188.578316615395
23/08/1903, 186.534599468851
24/08/1903, 184.529303510023
25/08/1903, 182.554429902056
26/08/1903, 180.592695687941
27/08/1903, 178.67259707218
28/08/1903, 176.782421293785
29/08/1903, 174.976754915259
30/08/1903, 173.280994802656
31/08/1903, 171.638645817786
01/09/1903, 169.904632139681
02/09/1903, 167.854404666744
03/09/1903, 166.067397097142
04/09/1903, 164.331955330858
05/09/1903, 162.658578940997
06/09/1903, 161.010024839352
07/09/1903, 159.385966556536
08/09/1903, 157.788971857601
09/09/1903, 156.241370430332
10/09/1903, 154.72453323433
11/09/1903, 153.165348487409
12/09/1903, 151.622970702768
13/09/1903, 150.133604483318
14/09/1903, 148.67139501381
15/09/1903, 147.220948584615
16/09/1903, 145.797426576886
17/09/1903, 144.39389320138
18/09/1903, 143.009558206787
19/09/1903, 141.644935139899
20/09/1903, 140.299288788549
21/09/1903, 138.972449192477
22/09/1903, 137.664832152338
23/09/1903, 136.375005765622
24/09/1903, 135.102821061801
25/09/1903, 133.848315262203
26/09/1903, 132.610814398828
27/09/1903, 131.390129033599
28/09/1903, 130.185697508107
29/09/1903, 128.997343169382
30/09/1903, 127.824755469318
01/10/1903, 126.667889109187
