Date,Storage Routing: Default Link #115 - Storage routing: Downstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Upstream Flow (ML.day^-1),Storage Routing: Default Link #115 - Storage routing: Storage Volume (ML)
1897-04-09,29.7800339372632,29.765,1.21456943717722
1897-04-10,29.2957440290812,29.2809,1.199725408096
1897-04-11,28.8192646195817,28.8046,1.18506078851425
1897-04-12,28.3500018752465,28.3355,1.17055891326777
1897-04-13,27.8879381548414,27.8736,1.15622075842633
1897-04-14,27.4328789638102,27.4187,1.14204179461611
1897-04-15,26.983945820971,26.9699,1.12799597364505
1897-04-16,26.5415970716917,26.5277,1.11409890195332
1897-04-17,26.1054587659146,26.0917,1.10034013603869
1897-04-18,25.6755195657408,25.6619,1.0867205702979
1897-04-19,25.2515852834136,25.2381,1.07323528688425
1897-04-20,24.8334561776319,24.8201,1.05987910925239
1897-04-21,24.4219980821553,24.4088,1.04668102709712
1897-04-22,24.0148157711156,24.0017,1.03356525598148
1897-04-23,23.6133850431011,23.6004,1.02058021288037
1897-04-24,23.2177516273711,23.2049,1.00772858550922
1897-04-25,22.8275295882375,22.8148,0.994998997271687
1897-04-26,22.4427068444762,22.4301,0.982392152795444
1897-04-27,22.0630893807261,22.0506,0.969902772069338
1897-04-28,21.6886710647142,21.6763,0.957531707355127
1897-04-29,21.3192581199064,21.307,0.945273587448744
1897-04-30,20.9549411399496,20.9428,0.933132447499138
1897-05-01,20.5956262408512,20.5836,0.921106206647914
1897-05-02,20.2412136552155,20.2293,0.909192551432392
1897-05-03,19.8915067007651,19.8797,0.897385850667335
1897-05-04,19.5466924334605,19.535,0.885693417206854
1897-05-05,19.2064868030644,19.1949,0.874106614142453
1897-05-06,18.8708805397267,18.8594,0.86262607441577
1897-05-07,18.5398733221093,18.5285,0.851252752306504
1897-05-08,18.2134651211601,18.2022,0.839987631146425
1897-05-09,17.891365990229,17.8802,0.828821640917409
1897-05-10,17.5736629346515,17.5626,0.817758706265944
1897-05-11,17.260358830963,17.2494,0.806799875302895
1897-05-12,16.9512605603526,16.9404,0.795939314950268
1897-05-13,16.6469411246633,16.6362,0.785198190286981
1897-05-14,16.3458747214591,16.3352,0.774523468827872
