Date,picnic_sacr_fors_dsflow
10/10/1987, 68.9156548436202
11/10/1987, 68.0903017037839
12/10/1987, 67.2761472319357
13/10/1987, 66.4714432747171
14/10/1987, 65.6752299981325
15/10/1987, 64.8899233580534
16/10/1987, 64.1134971165134
17/10/1987, 63.346065112728
18/10/1987, 62.5874594879019
19/10/1987, 61.8384710727705
20/10/1987, 61.0980355334768
21/10/1987, 60.3658208432545
22/10/1987, 59.6419469853948
23/10/1987, 58.9268150921928
24/10/1987, 58.2191974209997
25/10/1987, 57.5216922018893
26/10/1987, 56.8329044748795
27/10/1987, 56.1529040871846
28/10/1987, 55.4817612862276
29/10/1987, 54.8193794025346
30/10/1987, 54.1645370757005
31/10/1987, 53.5220814155615
01/11/1987, 52.9210777627857
02/11/1987, 52.2882976875804
03/11/1987, 51.6435252572201
04/11/1987, 51.0070651677
05/11/1987, 50.3953991765886
06/11/1987, 49.7923207220382
07/11/1987, 49.1957736329524
08/11/1987, 48.6051096978759
09/11/1987, 48.0217059019343
10/11/1987, 47.4464910868934
11/11/1987, 46.8779757010918
12/11/1987, 46.3165276564747
13/11/1987, 45.7616159519097
14/11/1987, 45.2125424641456
15/11/1987, 44.6713644230488
16/11/1987, 123.353148790532
17/11/1987, 281.119477683491
18/11/1987, 337.883185664525
19/11/1987, 293.968934914032
20/11/1987, 259.088800646578
21/11/1987, 230.363795347897
22/11/1987, 206.670169519517
23/11/1987, 187.089713774303
24/11/1987, 170.872772958037
25/11/1987, 157.407801795306
26/11/1987, 146.193841270207
27/11/1987, 136.821752919413
28/11/1987, 128.957347776062
29/11/1987, 196.197804813207
30/11/1987, 368.715979356024
01/12/1987, 444.544653368964
02/12/1987, 388.879370625916
03/12/1987, 345.411811034579
04/12/1987, 309.567341228512
05/12/1987, 296.827402101413
06/12/1987, 300.124313313472
07/12/1987, 272.468717084791
08/12/1987, 249.975378042783
09/12/1987, 231.270310145285
10/12/1987, 215.664936493862
11/12/1987, 202.593581499136
12/12/1987, 191.599688203525
13/12/1987, 182.306346009384
14/12/1987, 174.405114091487
15/12/1987, 167.644679972107
16/12/1987, 161.821201800725
17/12/1987, 156.765637015556
18/12/1987, 152.342562778587
19/12/1987, 148.437090171724
20/12/1987, 144.959788520267
21/12/1987, 141.835916119899
22/12/1987, 139.004159312785
23/12/1987, 136.413913034466
24/12/1987, 134.023800160008
25/12/1987, 131.801466886933
26/12/1987, 129.72036429417
27/12/1987, 127.760321244728
28/12/1987, 174.434184589245
29/12/1987, 225.950122836164
30/12/1987, 748.871455892263
31/12/1987, 1392.66429375718
01/01/1988, 1175.40449083656
02/01/1988, 1020.57266611925
03/01/1988, 893.369687251368
04/01/1988, 788.687724099058
05/01/1988, 702.475194030017
06/01/1988, 631.343067447674
07/01/1988, 572.541234511406
08/01/1988, 523.842729436108
09/01/1988, 483.342444951185
10/01/1988, 449.610505810222
11/01/1988, 421.396141625649
12/01/1988, 397.698314075047
13/01/1988, 377.698119378594
14/01/1988, 360.726338066939
15/01/1988, 346.235826519668
16/01/1988, 333.781164045519
17/01/1988, 322.996773953094
18/01/1988, 313.584572527439
19/01/1988, 305.300473722926
20/01/1988, 297.94570943126
21/01/1988, 291.358372034278
22/01/1988, 285.420166947564
23/01/1988, 279.970005810928
24/01/1988, 274.972878830589
25/01/1988, 270.338064024435
26/01/1988, 266.005445816448
27/01/1988, 261.926242729811
28/01/1988, 258.060013649337
29/01/1988, 254.375178339769
30/01/1988, 250.844827460722
31/01/1988, 247.445923252355
01/02/1988, 244.160329109659
02/02/1988, 240.974201200485
03/02/1988, 237.875319330494
04/02/1988, 234.854966384917
05/02/1988, 231.903655617842
06/02/1988, 312.006166032661
07/02/1988, 660.521730989618
08/02/1988, 883.401953105663
09/02/1988, 793.442939864415
10/02/1988, 702.301571785775
11/02/1988, 627.57351373635
12/02/1988, 565.874270589429
13/02/1988, 731.717453018418
14/02/1988, 921.844359168341
15/02/1988, 984.269321274895
16/02/1988, 980.589802708733
17/02/1988, 865.041804614787
18/02/1988, 770.913323550205
19/02/1988, 693.240862808339
20/02/1988, 629.021347029796
21/02/1988, 575.803181216861
22/02/1988, 531.58281535486
23/02/1988, 494.723565902083
24/02/1988, 463.888219350374
25/02/1988, 437.980641817341
26/02/1988, 416.108605033211
27/02/1988, 397.551027340276
28/02/1988, 381.686016450869
29/02/1988, 368.050201019452
01/03/1988, 356.236049599927
02/03/1988, 345.919215128761
03/03/1988, 336.835161104855
04/03/1988, 328.766257845217
05/03/1988, 321.533961182973
06/03/1988, 314.991718130125
07/03/1988, 309.02291161095
08/03/1988, 303.529940158151
09/03/1988, 298.43205463457
10/03/1988, 293.665495936234
11/03/1988, 289.175564884133
12/03/1988, 284.917273018488
13/03/1988, 280.855432518929
14/03/1988, 276.962765052516
15/03/1988, 273.214672578745
16/03/1988, 269.592744333469
17/03/1988, 266.092665224751
18/03/1988, 262.749230709685
19/03/1988, 287.936485107663
20/03/1988, 284.73656373345
21/03/1988, 276.938748750889
22/03/1988, 270.049283117741
23/03/1988, 389.934325357514
24/03/1988, 472.401669623605
25/03/1988, 432.319572200273
26/03/1988, 399.711586639238
27/03/1988, 377.313793559209
28/03/1988, 377.438847884391
29/03/1988, 355.301801374624
30/03/1988, 343.878696471034
31/03/1988, 327.503878073058
01/04/1988, 311.594717372082
02/04/1988, 298.078858138467
03/04/1988, 286.514843504249
04/04/1988, 319.688672776732
05/04/1988, 352.754784229144
06/04/1988, 331.052157428968
07/04/1988, 313.309040178155
08/04/1988, 298.288864559589
